county,disp_2022,disp_2021,disp_2020,disp_2019,disp_2018,paid_2022,paid_2021,paid_2020,paid_2019,paid_2018
Stonewall,1,14,14,9,18,0,2,12,1,1
Sutton,232,181,295,250,234,14,8,19,33,11
Swisher,107,25,45,133,128,24,2,11,40,23
Tarrant,"31,855","23,866","21,168","31,452","30,696","16,221","10,796","11,788","15,333","14,453"
Taylor,"1,860","1,963","2,700","2,893","3,133","1,302","1,304","1,614","2,082","2,092"
Terrell,0,6,10,52,60, ,0,1,11,13
Terry,246,207,207,249,277,137,127,123,137,180
Throckmorton,11,0,1,0,0,4,0,0,0,0
Titus,302,585,487,762,923,61,96,78,163,221
Tom Green,"2,752","2,321","2,266","2,686","2,949",966,721,589,767,803
Travis,"20,897","20,086","16,977","27,875","30,431","10,265","8,903","11,115","14,950","14,947"
Trinity,90,54,127,190,224,29,26,48,103,91
Tyler,108,251,215,290,485,55,41,59,82,51
Upshur,389,494,376,531,581,78,64,53,121,72
Upton,96,66,77,69,50,38,27,27,18,17
Uvalde,222,45,346,458,393,6,22,20,21,35
Val Verde,440,561,546,713,609,192,259,352,431,371
Van Zandt,618,773,399,"1,451",763,146,171,83,175,93
Victoria,"1,619","1,196","1,621","1,873","1,774",886,669,904,905,949
Walker,939,657,843,695,718,734,514,531,542,653
Waller,580,537,540,663,391,251,141,201,248,251
Ward,551,417,381,393,409,49,47,37,25,41
Washington,803,787,708,749,764,354,338,353,411,313
Webb,"1,524","1,016","1,257","1,391","1,804","1,477","1,238","1,315","1,739","1,939"
Wharton,"1,152",730,788,"1,088","1,286",201,127,135,183,213
Wheeler,159,86,116,202,307,102,37,33,55,97
Wichita,"1,632","1,194","1,479","2,521","2,603","1,568",954,"1,152","1,666","2,057"
Wilbarger,397,318,263,248,241,22,18,8,19,20
Willacy,221,144,168,357,220,164,25,231,353,153
Williamson,"4,754","3,065","4,574","7,095","8,498","2,363","1,515","2,647","4,013","4,458"
Wilson,650,"1,003",890,"1,170","1,084",241,194,208,317,224
Winkler,124,98,120,299,280,15,6,13,29,8
Wise,"1,247","1,465","1,175","1,448","1,690",244,276,256,382,359
Wood,394,354,359,600,"1,010",81,69,85,186,230
Yoakum,86,66,62,73,61,14,15,8,25,24
Young,509,407,464,586,577,176,181,207,257,236
Zapata,173,183,130,155,174,104,77,62,93,76
Zavala,88,292,232,206,234,2,7,2,19,13
