county,pop_2023,felExp_2023,misdExp_2023,totalExp_2023,pop_2022,felExp_2022,misdExp_2022,totalExp_2022,pop_2021,felExp_2021,misdExp_2021,totalExp_2021,pop_2020,felExp_2020,misdExp_2020,totalExp_2020,pop_2019,felExp_2019,misdExp_2019,totalExp_2019
Gonzales,"19,887","$216,572","$47,170","$267,192","19,446","$135,861","$35,423","$176,802","20,819","$104,267","$24,296","$137,179","20,819","$114,831","$20,649","$141,684","20,659","$141,596","$38,986","$190,523"
Gray,"20,729","$180,309","$68,850","$273,274","20,688","$150,686","$47,230","$220,631","21,900","$135,041","$38,900","$194,306","21,900","$185,451","$33,845","$246,760","21,657","$184,236","$39,550","$250,271"
Grayson,"145,044","$695,173","$233,220","$1,117,166","141,115","$589,979","$160,987","$981,958","136,052","$563,108","$100,129","$865,051","136,052","$589,409","$141,731","$959,101","137,479","$749,555","$216,717","$1,159,804"
Gregg,"126,871","$807,933","$309,489","$1,179,100","122,246","$928,100","$303,429","$1,383,505","126,225","$749,046","$301,482","$1,103,271","126,225","$700,157","$314,910","$1,129,497","126,215","$820,307","$348,267","$1,269,069"
Grimes,"30,240","$376,546","$43,380","$449,586","30,439","$199,616","$55,690","$266,401","29,730","$92,410","$53,759","$165,599","29,730","$168,138","$31,425","$224,385","29,190","$251,706","$26,621","$292,029"
Guadalupe,"184,640","$766,963","$165,610","$1,045,720","177,449","$597,101","$154,974","$815,213","169,139","$365,605","$115,815","$533,788","169,139","$363,726","$124,801","$549,662","165,452","$435,477","$157,401","$673,760"
Hale,"31,478","$247,916","$69,838","$345,652","31,877","$195,121","$71,902","$295,157","32,864","$160,074","$26,470","$212,767","32,864","$170,130","$41,396","$237,158","33,987","$151,750","$57,888","$248,491"
Hall,"2,805","$26,882","$3,770","$32,127","2,824","$21,482","$1,000","$28,372","2,969","$25,002",$480,"$26,682","2,969","$20,475",$0,"$25,925","3,095","$32,424",$366,"$44,047"
Hamilton,"8,162",$0,"$33,001","$34,610","8,043","$25,514","$7,900","$35,323","8,637","$28,478","$5,200","$35,287","8,637","$32,227","$7,200","$41,236","8,625","$39,394","$8,000","$50,403"
Hansford,"5,175","$13,390","$1,350","$24,983","5,140","$27,225","$2,500","$34,463","5,288","$22,390","$1,500","$27,150","5,288","$22,738",$850,"$28,666","5,405","$25,033","$2,000","$32,041"
